implementation,N,execution_ms,computation_ms,transfer_ms,transfer_bytes,total_ops,performance_mops,sorted_ok
cuda_v2,10000,1.071936,0.993312,0.067712,80000,128192,119.589228,true
cuda_v2,10000,0.691008,0.624032,0.057024,80000,128192,185.514502,true
cuda_v2,10000,0.583456,0.520576,0.053152,80000,128192,219.711520,true
cuda_v2,100000,0.921440,0.644864,0.267712,800000,1208192,1311.199854,true
cuda_v2,100000,0.936128,0.643616,0.283776,800000,1208192,1290.626895,true
cuda_v2,100000,0.913344,0.644992,0.258912,800000,1208192,1322.822470,true
cuda_v2,1000000,7.623424,5.701632,1.911456,8000000,12008192,1575.170411,true
cuda_v2,1000000,7.667296,5.705120,1.951840,8000000,12008192,1566.157366,true
cuda_v2,1000000,7.605088,5.714080,1.880512,8000000,12008192,1578.968137,true
cuda_v2,10000000,82.284828,64.568192,17.706944,80000000,120008192,1458.448594,true
cuda_v2,10000000,85.248772,64.558884,20.678881,80000000,120008192,1407.741011,true
cuda_v2,10000000,84.019745,64.552132,19.454559,80000000,120008192,1428.333211,true